timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707550728526,345,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Stress Thread Group 3-2,,true,,1116,4754,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,345,0,0
1707550728517,380,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Load Thread Group 2-2,,true,,1118,4754,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,380,0,0
1707550728579,319,"home/cart.json-2,726",200,OK,Smoke Thread Group 1-1,text,true,,2285,1260,1,7,https://supertails.com/cart.json,319,0,0
1707550728624,294,"home/cart-2,630",200,OK,Stress Thread Group 3-3,text,true,,4106,1300,3,7,https://supertails.com/cart?t=1707545490632&view=ajax,294,0,0
1707550728826,338,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Load Thread Group 2-1,,true,,1114,5768,3,7,https://supertails.com/.well-known/shopify/monorail/v1/produce,338,0,0
1707550728817,362,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Stress Thread Group 3-1,,true,,1122,5768,3,7,https://supertails.com/.well-known/shopify/monorail/v1/produce,362,0,0
1707550728872,349,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Stress Thread Group 3-2,,true,,1120,2292,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,349,0,0
1707550728899,327,"home/.well-known/shopify/monorail/v1/produce-2,728",200,OK,Smoke Thread Group 1-1,,true,,1120,5768,1,7,https://supertails.com/.well-known/shopify/monorail/v1/produce,327,0,0
1707550728899,333,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Load Thread Group 2-2,,true,,1120,2292,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,333,0,0
1707550728860,373,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Load Thread Group 2-3,,true,,1122,4754,3,7,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,373,0,0
1707550728920,350,"home/.well-known/shopify/monorail/unstable/produce_batch-2,637",200,OK,Stress Thread Group 3-3,,true,,1116,4754,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,350,0,0
